name,coordinate,creation_timestamp
Sacramento,"{'latitude': 38.64083, 'longitude': -121.45299}",1566435361
Sacramento,"{'latitude': 38.6383, 'longitude': -121.41816}",1566435259
North Highlands,"{'latitude': 38.66025, 'longitude': -121.35935}",1566435045
Citrus Heights,"{'latitude': 38.67861, 'longitude': -121.26677}",1566433202
Citrus Heights,"{'latitude': 38.68212, 'longitude': -121.26489}",1566401640
Citrus Heights,"{'latitude': 38.68214, 'longitude': -121.26488}",1566394067
Citrus Heights,"{'latitude': 38.68224, 'longitude': -121.26502}",1566333661
Citrus Heights,"{'latitude': 38.6788, 'longitude': -121.26705}",1566332851
Citrus Heights,"{'latitude': 38.67894, 'longitude': -121.27092}",1566323431
Citrus Heights,"{'latitude': 38.68211, 'longitude': -121.26488}",1566304279
Citrus Heights,"{'latitude': 38.68204, 'longitude': -121.26496}",1566285844
Citrus Heights,"{'latitude': 38.68528, 'longitude': -121.26538}",1566285005
Folsom,"{'latitude': 38.67048, 'longitude': -121.16975}",1566278528
Sacramento,"{'latitude': 38.5547, 'longitude': -121.40441}",1566276451
Sacramento,"{'latitude': 38.58041, 'longitude': -121.50573}",1566270436
Citrus Heights,"{'latitude': 38.68107, 'longitude': -121.33228}",1566262497
Citrus Heights,"{'latitude': 38.67347, 'longitude': -121.32765}",1566261937
Citrus Heights,"{'latitude': 38.68644, 'longitude': -121.30932}",1566260782
Citrus Heights,"{'latitude': 38.68205, 'longitude': -121.265}",1566246253
Citrus Heights,"{'latitude': 38.67794, 'longitude': -121.27168}",1566230264
Citrus Heights,"{'latitude': 38.68213, 'longitude': -121.26493}",1566225001
Citrus Heights,"{'latitude': 38.68211, 'longitude': -121.26501}",1566173256
Folsom,"{'latitude': 38.65582, 'longitude': -121.12381}",1566168163
Folsom,"{'latitude': 38.65617, 'longitude': -121.12536}",1566168024
Folsom,"{'latitude': 38.66804, 'longitude': -121.13899}",1566167536
Folsom,"{'latitude': 38.65605, 'longitude': -121.1224}",1566164662
El Dorado Hills,"{'latitude': 38.65392, 'longitude': -121.07102}",1566161686
Folsom,"{'latitude': 38.64933, 'longitude': -121.11723}",1566159673
Folsom,"{'latitude': 38.65037, 'longitude': -121.11997}",1566159267
Citrus Heights,"{'latitude': 38.67885, 'longitude': -121.26223}",1566156162
Citrus Heights,"{'latitude': 38.68213, 'longitude': -121.26497}",1566141224
Citrus Heights,"{'latitude': 38.68211, 'longitude': -121.26491}",1566129687
Citrus Heights,"{'latitude': 38.68204, 'longitude': -121.26497}",1566081133
Sacramento,"{'latitude': 38.58005, 'longitude': -121.50636}",1566076113
Citrus Heights,"{'latitude': 38.67838, 'longitude': -121.29184}",1566058142
Citrus Heights,"{'latitude': 38.68217, 'longitude': -121.26493}",1566054770
Citrus Heights,"{'latitude': 38.68201, 'longitude': -121.265}",1565999322
Citrus Heights,"{'latitude': 38.70748, 'longitude': -121.27286}",1565997846
Auburn,"{'latitude': 38.89159, 'longitude': -121.08697}",1565996568
North Auburn,"{'latitude': 38.93486, 'longitude': -121.09307}",1565992835
Rocklin,"{'latitude': 38.80663, 'longitude': -121.20086}",1565991769
Citrus Heights,"{'latitude': 38.68202, 'longitude': -121.26501}",1565971809
Citrus Heights,"{'latitude': 38.68211, 'longitude': -121.26497}",1565961126
Citrus Heights,"{'latitude': 38.68205, 'longitude': -121.26501}",1565877357
Citrus Heights,"{'latitude': 38.68216, 'longitude': -121.2649}",1565869153
Citrus Heights,"{'latitude': 38.68208, 'longitude': -121.26498}",1565849098
Sacramento,"{'latitude': 38.58008, 'longitude': -121.50491}",1565831412
Citrus Heights,"{'latitude': 38.67809, 'longitude': -121.3163}",1565830267
Citrus Heights,"{'latitude': 38.67863, 'longitude': -121.26672}",1565829788
Citrus Heights,"{'latitude': 38.68211, 'longitude': -121.26524}",1565801571
Citrus Heights,"{'latitude': 38.67564, 'longitude': -121.27267}",1565797304
Citrus Heights,"{'latitude': 38.67846, 'longitude': -121.27106}",1565797165
Citrus Heights,"{'latitude': 38.67907, 'longitude': -121.26535}",1565796794
Citrus Heights,"{'latitude': 38.68217, 'longitude': -121.26496}",1565790383
Citrus Heights,"{'latitude': 38.68208, 'longitude': -121.26517}",1565748280
Orangevale,"{'latitude': 38.67847, 'longitude': -121.2252}",1565746846
Folsom,"{'latitude': 38.67432, 'longitude': -121.1731}",1565746234
Folsom,"{'latitude': 38.67044, 'longitude': -121.16929}",1565744922
Folsom,"{'latitude': 38.67575, 'longitude': -121.17449}",1565742196
Folsom,"{'latitude': 38.67951, 'longitude': -121.17572}",1565742119
Orangevale,"{'latitude': 38.6782, 'longitude': -121.20282}",1565741920
Orangevale,"{'latitude': 38.67856, 'longitude': -121.22598}",1565741735
Orangevale,"{'latitude': 38.67873, 'longitude': -121.2464}",1565741610
Citrus Heights,"{'latitude': 38.68222, 'longitude': -121.26499}",1565706961
Citrus Heights,"{'latitude': 38.68211, 'longitude': -121.26493}",1565693189
Citrus Heights,"{'latitude': 38.6823, 'longitude': -121.2653}",1565672394
Citrus Heights,"{'latitude': 38.67856, 'longitude': -121.26258}",1565672063
Sacramento,"{'latitude': 38.5855, 'longitude': -121.50273}",1565670888
Foothill Farms,"{'latitude': 38.67129, 'longitude': -121.3493}",1565656947
Citrus Heights,"{'latitude': 38.67892, 'longitude': -121.26531}",1565655939
Citrus Heights,"{'latitude': 38.68067, 'longitude': -121.26234}",1565655611
Citrus Heights,"{'latitude': 38.68218, 'longitude': -121.26521}",1565647501
Citrus Heights,"{'latitude': 38.70792, 'longitude': -121.26281}",1565646980
Roseville,"{'latitude': 38.74572, 'longitude': -121.24877}",1565643698
Citrus Heights,"{'latitude': 38.68222, 'longitude': -121.2649}",1565636499
Citrus Heights,"{'latitude': 38.68198, 'longitude': -121.265}",1565620369
Citrus Heights,"{'latitude': 38.68208, 'longitude': -121.26495}",1565609626
Citrus Heights,"{'latitude': 38.68205, 'longitude': -121.26488}",1565562005
Citrus Heights,"{'latitude': 38.68216, 'longitude': -121.26474}",1565553874
Fair Oaks,"{'latitude': 38.66241, 'longitude': -121.27301}",1565550343
Citrus Heights,"{'latitude': 38.68209, 'longitude': -121.26494}",1565533540
Citrus Heights,"{'latitude': 38.6821, 'longitude': -121.26496}",1565525172
Citrus Heights,"{'latitude': 38.68214, 'longitude': -121.26497}",1565495655
Citrus Heights,"{'latitude': 38.68209, 'longitude': -121.26493}",1565486862
Folsom,"{'latitude': 38.67002, 'longitude': -121.16999}",1565483573
Citrus Heights,"{'latitude': 38.67829, 'longitude': -121.27656}",1565473349
Foothill Farms,"{'latitude': 38.68138, 'longitude': -121.33594}",1565472876
Foothill Farms,"{'latitude': 38.67061, 'longitude': -121.34935}",1565472802
Sacramento,"{'latitude': 38.60401, 'longitude': -121.50657}",1565472187
Sacramento,"{'latitude': 38.58622, 'longitude': -121.50288}",1565472111
Sacramento,"{'latitude': 38.5801, 'longitude': -121.50565}",1565467073
Citrus Heights,"{'latitude': 38.68212, 'longitude': -121.26495}",1565447159
Citrus Heights,"{'latitude': 38.68209, 'longitude': -121.26491}",1565432306
Citrus Heights,"{'latitude': 38.68218, 'longitude': -121.26495}",1565405827
Citrus Heights,"{'latitude': 38.6821, 'longitude': -121.26496}",1565383457
Citrus Heights,"{'latitude': 38.67854, 'longitude': -121.26265}",1565376892
Arden Town,"{'latitude': 38.60016, 'longitude': -121.39323}",1565373533
